x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
-0.317329,-0.181930,0.469875,0.340023,0.587649,-0.475909,-0.390427,0.237728,0.356141,0.759250,-0.204072,-0.426601,0.422910,0.428438,0.560278
-0.292365,-0.161514,0.491374,0.332765,0.538807,-0.451263,-0.367681,0.255474,0.350899,0.735610,-0.182398,-0.408076,0.448779,0.431328,0.530982
-0.265469,-0.138242,0.513969,0.324289,0.507758,-0.424501,-0.340770,0.262681,0.350441,0.699608,-0.158648,-0.385135,0.479619,0.432733,0.526506
-0.241804,-0.113902,0.515156,0.321933,0.494349,-0.400608,-0.315122,0.253163,0.350043,0.680750,-0.138107,-0.362270,0.491659,0.433663,0.513469
-0.219880,-0.092630,0.510563,0.359216,0.558321,-0.377131,-0.294098,0.246272,0.348156,0.658534,-0.115851,-0.341754,0.492782,0.437303,0.463329
-0.196384,-0.071593,0.529794,0.308127,0.446894,-0.353445,-0.272563,0.255308,0.347003,0.637771,-0.092723,-0.321488,0.511562,0.441618,0.456045
-0.168977,-0.047393,0.555279,0.293841,0.401984,-0.326210,-0.247116,0.276218,0.345695,0.572564,-0.067340,-0.297880,0.541446,0.445933,0.458398
-0.153393,-0.035017,0.543397,0.272415,0.377186,-0.312366,-0.237043,0.262663,0.343340,0.592517,-0.054049,-0.285190,0.527257,0.456467,0.456733
-0.141503,-0.022477,0.533074,0.265849,0.366744,-0.298224,-0.224124,0.269683,0.342830,0.591441,-0.039100,-0.271088,0.532742,0.460291,0.454092
-0.134168,-0.010651,0.534666,0.252438,0.336422,-0.287989,-0.212504,0.266927,0.343151,0.582218,-0.029224,-0.257684,0.527745,0.463830,0.423963
-0.126170,0.000260,0.538395,0.241229,0.330294,-0.280513,-0.201313,0.257709,0.340037,0.566596,-0.020016,-0.243950,0.532595,0.470869,0.433291
-0.120408,0.010133,0.530648,0.234346,0.317229,-0.274844,-0.190837,0.255120,0.337329,0.572292,-0.013231,-0.231982,0.537841,0.475418,0.420308
