x,y,theta,hue_rad,saturation,is_anomaly
-0.165112,-0.094803,0.177564,2.014019,0.491727,0
0.083674,-0.125338,0.613738,3.596401,0.334618,0
-0.028979,0.105195,0.416968,0.153134,0.328426,0
-0.160973,-0.093876,0.178689,2.037034,0.486504,0
0.087845,-0.123050,0.618208,3.635489,0.343224,0
-0.025880,0.106222,0.415747,0.143640,0.340473,0
-0.157256,-0.092948,0.172714,2.044963,0.480303,0
0.092438,-0.121082,0.620531,3.690441,0.352337,0
-0.022876,0.108381,0.408375,0.125858,0.339668,0
-0.154586,-0.090911,0.167051,2.080256,0.472180,0
0.096579,-0.118258,0.622441,3.706589,0.360105,0
-0.020076,0.110042,0.398251,0.066017,0.350056,0
-0.152089,-0.087807,0.160601,2.078440,0.475730,0
0.100055,-0.116292,0.620124,3.706589,0.360105,0
-0.017838,0.112518,0.392039,0.066017,0.350056,0
-0.150141,-0.083888,0.149792,2.046898,0.473817,0
0.103098,-0.114010,0.618311,3.785487,0.355693,0
-0.015338,0.114179,0.385283,0.026766,0.359874,0
-0.148502,-0.082413,0.138853,2.016928,0.473824,0
0.106498,-0.112407,0.618973,3.785487,0.355693,0
-0.012976,0.114811,0.384414,0.026766,0.359874,0
-0.147014,-0.080876,0.129605,2.026315,0.478512,0
0.109270,-0.111700,0.620390,3.824229,0.365789,0
-0.010202,0.115901,0.385958,6.259196,0.365683,0
-0.145546,-0.079586,0.120937,2.029318,0.475277,0
0.111740,-0.110746,0.629162,3.859849,0.371022,0
-0.007263,0.117610,0.378011,6.259196,0.365683,0
-0.144067,-0.078731,0.113644,2.022809,0.470189,0
0.114199,-0.109401,0.627705,3.874168,0.371105,0
-0.005612,0.118220,0.378318,6.268822,0.374556,0
-0.142963,-0.077689,0.106911,2.017996,0.467426,0
0.116314,-0.107816,0.626262,3.874168,0.371105,0
-0.004300,0.118288,0.381180,6.263519,0.378115,0
-0.141437,-0.076742,0.095934,2.015181,0.462578,0
0.117775,-0.107023,0.623516,3.922561,0.367833,0
-0.003533,0.119007,0.378324,6.263519,0.378115,0
-0.140399,-0.075542,0.091428,2.020779,0.459361,0
0.119118,-0.106177,0.628272,3.970803,0.367415,0
-0.001943,0.119157,0.377849,6.256871,0.382915,0
-0.138197,-0.075572,0.089839,2.025479,0.459399,0
0.120782,-0.106109,0.634152,3.968988,0.368530,0
-0.001575,0.119457,0.381319,6.239586,0.385465,0
-0.135414,-0.075339,0.095443,2.032365,0.457357,0
0.121902,-0.105949,0.640051,3.983552,0.368882,0
-0.000332,0.119114,0.381873,6.194881,0.390238,0
-0.132828,-0.075100,0.093649,2.040992,0.455634,0
0.123191,-0.105979,0.646065,3.986348,0.368541,0
-0.000726,0.119227,0.385212,6.194881,0.390238,0
-0.131204,-0.074963,0.098660,2.034445,0.453585,0
0.124167,-0.105846,0.651318,3.986348,0.368541,0
-0.000550,0.119084,0.386069,6.191671,0.390252,0
-0.130188,-0.075398,0.102760,2.036261,0.449978,0
0.124508,-0.105912,0.652797,4.004456,0.369194,0
