# generated_by: experiments/mc_sweep_ow.py
# git_commit: 638b502
# date: 2026-07-03 06:04 UTC
# trials_per_cell: 5  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0.01,0.01,10025855,-0.5,0.25,3.79694,60,329,0,1,0,0.0434567,0.136591,2.99879e-06,4.33537,0.444356,0.52089
0.01,0.01,10033774,-0.5,0.25,5.94466,40,218,0,1,0,0.0372226,0.104486,1.69902e-09,2.89001,1.00843,0.0153488
0.01,0.01,10041693,-0.5,0.25,1.50804,-1,211,0,1,0,nan,nan,2.09043e-09,2.8999,-1.00626,0.0709656
0.01,0.02,10020017,-0.5,0.25,3.91193,108,475,0,1,0,0.131546,0.406633,0.0361843,6.4906,-0.482312,-0.52436
0.01,0.02,10027936,-0.5,0.25,1.68953,258,475,0,1,1,0.0594772,0.154768,0.957177,6.31624,-0.65733,-0.52384
0.01,0.02,10035855,-0.5,0.25,0.221563,59,500,0,0,1,0.0731604,0.182428,1.94704,6.68153,-0.67854,-0.284056
0.01,0.02,10043774,-0.5,0.25,1.18502,54,500,0,0,0,0.0750275,0.282814,0.0580689,6.5042,-0.773479,-0.385949
0.01,0.02,10051693,-0.5,0.25,6.12433,55,164,0,1,0,0.0521466,0.164991,8.70951e-10,2.14573,-0.641966,-0.523232
0.01,0.05,10050017,-0.5,0.25,3.46205,260,500,0,0,0,0.12721,0.334212,0.0509488,6.39032,-0.759041,-0.329468
0.01,0.05,10057936,-0.5,0.25,5.06475,195,397,0,1,0,0.0778332,0.202425,0.000301269,5.08255,-0.614099,-0.523485
0.01,0.05,10065855,-0.5,0.25,2.77639,301,336,0,1,0,0.0461218,0.134141,4.80217e-06,4.25317,-0.374378,0.522242
0.01,0.05,10073774,-0.5,0.25,5.51384,-1,500,0,0,0,nan,nan,0.0571289,6.30313,-0.924371,-0.378085
0.01,0.05,10081693,-0.5,0.25,0.866122,-1,500,0,0,0,nan,nan,0.0501303,6.3361,-0.780826,-0.104348
0.02,0,20000017,-0.5,0.25,5.57535,126,147,1,1,0,0.0113232,0.0380617,7.39626e-10,1.8883,-0.571918,-0.520677
0.02,0,20007936,-0.5,0.25,4.85303,136,247,0,1,0,0.291666,0.640426,4.19657e-09,3.42516,-1.00734,-0.0659805
0.02,0,20015855,-0.5,0.25,5.84293,-1,222,0,1,0,nan,nan,2.51494e-09,2.91736,-1.00022,0.0940665
0.02,0,20023774,-0.5,0.25,0.885232,-1,214,0,1,0,nan,nan,1.80314e-09,2.77431,-1.00242,-0.0395895
0.02,0,20031693,-0.5,0.25,3.04417,-1,225,0,1,0,nan,nan,2.20542e-09,3.0676,-1.00425,-0.383168
0.02,0.005,20005017,-0.5,0.25,5.07044,142,164,0,1,0,0.0405812,0.117552,8.5664e-10,2.28532,-0.623004,-0.527747
0.02,0.005,20012936,-0.5,0.25,4.3227,-1,500,0,0,1,nan,nan,1.29047,6.46814,-0.681656,0.0728761
0.02,0.005,20020855,-0.5,0.25,3.80656,-1,500,0,0,1,nan,nan,1.20235,6.59905,-0.621689,-0.350469
0.02,0.005,20028774,-0.5,0.25,3.04985,346,493,0,1,1,0.352235,0.862577,0.772492,6.5574,-0.540947,-0.525874
