environment,primitive,radius,avg_dist_origin,std_dist_origin,avg_dist_to_est_center,std_dist_to_est_center,est_center_x_mean,est_center_x_std,est_center_y_mean,est_center_y_std
sinking_vortex1,3R_orbiter_plane,0.4,0.44334954330717,0.018115273468644028,0.4433495433798985,0.01811527347538695,3.599277909979587e-12,6.471166807075816e-11,1.7842056308689133e-12,8.974130721598206e-11
sinking_vortex1,3R_orbiter_plane,0.5,0.5448791373065881,0.03025293231585108,0.5448791373822378,0.030252932308871466,1.7803798375697697e-11,1.2737652819837992e-10,1.1464897464702318e-11,7.263396538827923e-11
sinking_vortex1,3R_orbiter_plane,0.6,0.632926559788925,0.007475071554167404,0.6329265598655255,0.0074750715587974135,1.5593491071065823e-11,7.136797962176212e-11,-8.024397653320606e-12,6.013291031990633e-11
sinking_vortex1,4R_orbiter_planar,0.1,0.20227045244420847,0.020185016531092344,0.20227045250099981,0.020185016546032795,8.504864786825663e-12,4.881981995975328e-11,6.657614445720194e-12,4.9173408572344405e-11
sinking_vortex1,4R_orbiter_planar,0.2,0.27531677153381695,0.015943775051776188,0.27531677160781237,0.0159437750510076,1.0213924384722856e-11,5.7511941842443316e-11,-1.4558937159255418e-12,5.655702753419755e-11
sinking_vortex1,4R_orbiter_planar,0.3,0.3580206495639587,0.012693104559715831,0.35802064964341995,0.012693104557267647,1.2821100307436135e-11,5.838585804348338e-11,1.7969068455165592e-12,6.174693837299663e-11
sinking_vortex1,4R_orbiter_planar,0.4,0.44656739251760513,0.01036245317431063,0.4465673926009153,0.010362453172048331,2.864810759118367e-12,6.164720814178835e-11,-4.180739935350341e-12,6.479785270244362e-11
sinking_vortex1,4R_orbiter_planar,0.5,0.5386341306817385,0.008680178210365565,0.5386341307657132,0.008680178207858281,1.2839147706623311e-11,6.032351102656768e-11,5.6787153805026995e-12,6.572419563168258e-11
sinking_vortex1,4R_orbiter_planar,0.6,0.6328944916373217,0.0074339779603339665,0.6328944917227763,0.007433977958181104,1.9505767179254024e-11,6.152874828122415e-11,-6.920873831961112e-12,6.390575041116559e-11
sinking_vortex1,4R_orbiter_advanced,0.1,0.1955395384571623,0.026669765617554016,0.19553953849318512,0.02666976563439106,-4.35377429672994e-12,3.8303608899804804e-11,1.0128886394664195e-12,3.809662570209263e-11
sinking_vortex1,4R_orbiter_advanced,0.2,0.2731927798656052,0.01907440414677059,0.2731927799546811,0.019074404169727836,3.790069700094063e-12,6.692860810817429e-11,1.4611801146744412e-12,6.53368511327977e-11
sinking_vortex1,4R_orbiter_advanced,0.3,0.35713734747239917,0.014411614115035989,0.357137347569946,0.014411614122464644,1.2065892865549798e-11,7.01257086479621e-11,1.0434698629768667e-12,7.129639670500454e-11
sinking_vortex1,4R_orbiter_advanced,0.4,0.4460209710512375,0.011452840990585168,0.44602097114955247,0.011452840994883966,-3.4100399117357725e-13,7.14072503516453e-11,-4.408290206758225e-12,7.332882437901568e-11
sinking_vortex1,4R_orbiter_advanced,0.5,0.5382270243057574,0.00949304176558428,0.5382270244035593,0.009493041768711555,1.285933948968067e-11,6.894938665585175e-11,4.2527135737068905e-12,7.475267945178851e-11
sinking_vortex1,4R_orbiter_advanced,0.6,0.6325900534302139,0.008050929573682005,0.6325900535272427,0.008050929576173068,1.941236935883741e-11,6.994429578948622e-11,-1.0421191412828567e-11,7.122465911149188e-11
spewing_vortex1,3R_orbiter_plane,0.1,0.20241496977173032,0.020354764971910144,0.20241496978466203,0.020354764972070727,1.5373557128862745e-11,7.604043378768468e-11,8.811259817575714e-12,5.099509492133712e-11
spewing_vortex1,3R_orbiter_plane,0.2,0.2746281291659895,0.015926527349275108,0.27462812919477886,0.01592652736333693,7.918070855446008e-12,5.299138900342196e-11,9.552353137661231e-12,5.643281855688674e-11
spewing_vortex1,3R_orbiter_plane,0.3,0.3592518193561194,0.015006440006355207,0.3592518194141484,0.015006440004364355,1.5479827151920125e-11,6.54847157060879e-11,3.6888097704852226e-12,7.20740917586228e-11
spewing_vortex1,3R_orbiter_plane,0.4,0.44334954330717,0.018115273468644028,0.4433495433798985,0.01811527347538695,3.599277909979587e-12,6.471166807075816e-11,1.7842056308689133e-12,8.974130721598206e-11
spewing_vortex1,3R_orbiter_plane,0.5,0.5448791373065881,0.03025293231585108,0.5448791373822378,0.030252932308871466,1.7803798375697697e-11,1.2737652819837992e-10,1.1464897464702318e-11,7.263396538827923e-11
spewing_vortex1,3R_orbiter_plane,0.6,0.632926559788925,0.007475071554167404,0.6329265598655255,0.0074750715587974135,1.5593491071065823e-11,7.136797962176212e-11,-8.024397653320606e-12,6.013291031990633e-11
spewing_vortex1,4R_orbiter_planar,0.1,0.20227045244420847,0.020185016531092344,0.20227045250099981,0.020185016546032795,8.504864786825663e-12,4.881981995975328e-11,6.657614445720194e-12,4.9173408572344405e-11
spewing_vortex1,4R_orbiter_planar,0.2,0.27531677153381695,0.015943775051776188,0.27531677160781237,0.0159437750510076,1.0213924384722856e-11,5.7511941842443316e-11,-1.4558937159255418e-12,5.655702753419755e-11
spewing_vortex1,4R_orbiter_planar,0.3,0.3580206495639587,0.012693104559715831,0.35802064964341995,0.012693104557267647,1.2821100307436135e-11,5.838585804348338e-11,1.7969068455165592e-12,6.174693837299663e-11
spewing_vortex1,4R_orbiter_planar,0.4,0.44656739251760513,0.01036245317431063,0.4465673926009153,0.010362453172048331,2.864810759118367e-12,6.164720814178835e-11,-4.180739935350341e-12,6.479785270244362e-11
spewing_vortex1,4R_orbiter_planar,0.5,0.5386341306817385,0.008680178210365565,0.5386341307657132,0.008680178207858281,1.2839147706623311e-11,6.032351102656768e-11,5.6787153805026995e-12,6.572419563168258e-11
spewing_vortex1,4R_orbiter_planar,0.6,0.6328944916373217,0.0074339779603339665,0.6328944917227763,0.007433977958181104,1.9505767179254024e-11,6.152874828122415e-11,-6.920873831961112e-12,6.390575041116559e-11
spewing_vortex1,4R_orbiter_advanced,0.1,0.1955395384571623,0.026669765617554016,0.19553953849318512,0.02666976563439106,-4.35377429672994e-12,3.8303608899804804e-11,1.0128886394664195e-12,3.809662570209263e-11
spewing_vortex1,4R_orbiter_advanced,0.2,0.2731927798656052,0.01907440414677059,0.2731927799546811,0.019074404169727836,3.790069700094063e-12,6.692860810817429e-11,1.4611801146744412e-12,6.53368511327977e-11
spewing_vortex1,4R_orbiter_advanced,0.3,0.35713734747239917,0.014411614115035989,0.357137347569946,0.014411614122464644,1.2065892865549798e-11,7.01257086479621e-11,1.0434698629768667e-12,7.129639670500454e-11
spewing_vortex1,4R_orbiter_advanced,0.4,0.4460209710512375,0.011452840990585168,0.44602097114955247,0.011452840994883966,-3.4100399117357725e-13,7.14072503516453e-11,-4.408290206758225e-12,7.332882437901568e-11
spewing_vortex1,4R_orbiter_advanced,0.5,0.5382270243057574,0.00949304176558428,0.5382270244035593,0.009493041768711555,1.285933948968067e-11,6.894938665585175e-11,4.2527135737068905e-12,7.475267945178851e-11
spewing_vortex1,4R_orbiter_advanced,0.6,0.6325900534302139,0.008050929573682005,0.6325900535272427,0.008050929576173068,1.941236935883741e-11,6.994429578948622e-11,-1.0421191412828567e-11,7.122465911149188e-11
saddle1,3R_orbiter_plane,0.1,0.20241496988853236,0.020354765128428823,0.20241496988853233,0.02035476512842882,-2.3358872803172855e-18,2.8888892002667815e-17,1.898340287295855e-18,5.314953637139801e-17
saddle1,3R_orbiter_plane,0.2,0.27462812972500933,0.01592652714364163,0.27462812972500933,0.015926527143641633,-1.5296983607360758e-18,3.584892185683649e-17,1.2832849493036563e-18,4.1095831600691324e-17
saddle1,3R_orbiter_plane,0.3,0.3592518198984039,0.015006441778007473,0.3592518198984038,0.015006441778007473,3.742354360810647e-18,9.656227806186896e-17,-1.0601041049142008e-17,1.6479074088829165e-16
saddle1,3R_orbiter_plane,0.4,0.4433495478437965,0.018115255166944965,0.4433495478437965,0.018115255166944948,2.2959982255650752e-17,2.3360168334106795e-16,-4.84896511145488e-18,1.2630285197530633e-16
saddle1,3R_orbiter_plane,0.5,0.5448791494500939,0.030252977114742074,0.5448791494500939,0.030252977114741994,3.29864914072147e-18,1.3252792406743675e-16,-7.956152428448371e-17,1.447997882950208e-15
saddle1,3R_orbiter_plane,0.6,0.6329265615554864,0.007475072538480109,0.6329265615554864,0.007475072538480082,1.3007323933158374e-17,2.485405641681062e-16,7.756440178384257e-19,4.2332411695215744e-16
saddle1,4R_orbiter_planar,0.1,0.20227045245058498,0.020185016532042962,0.20227045245058498,0.020185016532042965,8.058958473528078e-19,2.284655330349342e-17,2.908771954969137e-18,2.3814998154320812e-17
saddle1,4R_orbiter_planar,0.2,0.2753167715566354,0.01594377505539738,0.2753167715566354,0.01594377505539738,-1.956323964362622e-18,3.541878525995642e-17,2.5326052216499758e-18,3.8317154006641216e-17
saddle1,4R_orbiter_planar,0.3,0.3580206496000251,0.012693104566339642,0.3580206496000251,0.012693104566339647,-3.0233166350057543e-18,6.190693646540149e-17,-1.6666773833817787e-18,6.260096303876247e-17
saddle1,4R_orbiter_planar,0.4,0.44656739256330014,0.010362453182863614,0.44656739256330014,0.010362453182863622,-3.69342948448627e-18,9.240656913921419e-17,5.626872128160585e-18,8.817303761059896e-17
saddle1,4R_orbiter_planar,0.5,0.5386341307342271,0.008680178220292548,0.5386341307342271,0.008680178220292557,-1.2584094354583394e-17,1.269823651027114e-16,3.3911222176862504e-18,1.1964558520255427e-16
saddle1,4R_orbiter_planar,0.6,0.6328944916947017,0.007433977971266728,0.6328944916947017,0.007433977971266709,4.573769573406806e-18,1.7463877096723457e-16,3.095252222852068e-18,1.867794394644559e-16
saddle1,4R_orbiter_advanced,0.1,0.19553953853381148,0.02666976564488096,0.19553953853381148,0.02666976564488096,2.4132241172447874e-20,9.352921929420192e-18,4.80585320817694e-19,1.0938759853775892e-17
saddle1,4R_orbiter_advanced,0.2,0.2731927799308332,0.019074404164231933,0.2731927799308332,0.019074404164231933,-2.012298363888205e-18,1.9812650360517392e-17,2.1350144330542515e-18,2.460930614704061e-17
saddle1,4R_orbiter_advanced,0.3,0.3571373475296771,0.014411614128156256,0.3571373475296771,0.01441161412815625,1.4269568830772584e-18,4.2056385237302947e-17,-6.471956685014527e-19,4.8506855063113005e-17
saddle1,4R_orbiter_advanced,0.4,0.4460209711112259,0.011452841005992141,0.44602097111122596,0.011452841005992144,7.052202072668191e-18,8.064716569549182e-17,1.053933138079908e-18,8.154108324574002e-17
saddle1,4R_orbiter_advanced,0.5,0.5382270243696339,0.009493041781759444,0.5382270243696339,0.00949304178175944,-2.150462271742853e-19,1.3010250784520255e-16,-2.7158295036535242e-18,1.3625636597614847e-16
saddle1,4R_orbiter_advanced,0.6,0.6325900534968842,0.008050929589646792,0.6325900534968842,0.00805092958964679,2.0971590199640436e-17,1.7140790205713378e-16,-5.836302161919842e-20,1.7050817093185902e-16
