# generated_by: experiments/mc_sweep_ow.py
# git_commit: 16a1a35
# date: 2026-07-03 10:36 UTC
# trials_per_cell: 1000  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0,0,918621,-0.5,0.25,1.54837,22,116,1,1,0,0.000770542,0.00548482,5.07616e-10,1.45075,0.525059,-0.525091
0,0,926540,-0.5,0.25,6.25246,22,115,1,1,0,0.000790904,0.00506269,5.07567e-10,1.43879,0.520718,-0.520668
0,0,934459,-0.5,0.25,3.40557,22,115,1,1,0,0.00078017,0.00471098,5.07341e-10,1.43924,0.524968,-0.524932
0,0,942378,-0.5,0.25,6.22581,22,115,1,1,0,0.000796969,0.00501533,5.07428e-10,1.43883,0.521256,-0.521202
0,0,950297,-0.5,0.25,3.50646,22,115,1,1,0,0.000801099,0.00472572,5.07459e-10,1.43913,0.524545,-0.524489
0,0,958216,-0.5,0.25,2.77349,22,116,1,1,0,0.000759643,0.00546522,5.0756e-10,1.45073,0.525097,-0.525121
0,0,966135,-0.5,0.25,3.66603,22,115,1,1,0,0.000804767,0.00493727,5.07441e-10,1.43889,0.522172,-0.522113
0,0,974054,-0.5,0.25,5.27726,22,116,1,1,0,0.000756242,0.00545782,5.07397e-10,1.45072,0.525128,-0.52515
0,0,981973,-0.5,0.25,2.0681,22,115,1,1,0,0.000756414,0.00479093,5.07519e-10,1.43927,0.524553,-0.524544
0,0,989892,-0.5,0.25,4.70579,22,115,1,1,0,0.000790169,0.00470175,5.07455e-10,1.4392,0.52491,-0.524863
0,0,997811,-0.5,0.25,3.47021,22,115,1,1,0,0.000794402,0.00470591,5.07628e-10,1.43918,0.524813,-0.524761
0,0,1005730,-0.5,0.25,2.21783,22,115,1,1,0,0.000795195,0.00470743,5.07498e-10,1.43917,0.524788,-0.524736
0,0,1013649,-0.5,0.25,4.03506,22,116,1,1,0,0.000761394,0.0054688,5.0757e-10,1.45073,0.525084,-0.52511
0,0,1021568,-0.5,0.25,4.02563,22,116,1,1,0,0.00075804,0.0054618,5.07481e-10,1.45073,0.525111,-0.525134
0,0,1029487,-0.5,0.25,5.69567,22,115,1,1,0,0.000787461,0.00508444,5.0754e-10,1.4392,0.522372,-0.522407
0,0,1037406,-0.5,0.25,0.970068,22,115,1,1,0,0.000796845,0.00471126,5.07532e-10,1.43916,0.52473,-0.524677
0,0,1045325,-0.5,0.25,5.36737,22,116,1,1,0,0.000785633,0.00549916,5.07532e-10,1.4508,0.525211,-0.525251
0,0,1053244,-0.5,0.25,5.03428,22,116,1,1,0,0.000772329,0.00511296,5.07422e-10,1.45075,0.528429,-0.528387
0,0,1061163,-0.5,0.25,1.93486,22,115,1,1,0,0.000784547,0.00506223,5.07425e-10,1.43921,0.522553,-0.522585
0,0,1069082,-0.5,0.25,0.802069,22,115,1,1,0,0.000753427,0.00480514,5.07586e-10,1.43927,0.524461,-0.524456
0,0,1077001,-0.5,0.25,2.36926,22,115,1,1,0,0.000808374,0.00487711,5.0743e-10,1.43895,0.522909,-0.522848
0,0,1084920,-0.5,0.25,1.25497,22,115,1,1,0,0.000783133,0.0051154,5.07378e-10,1.43876,0.520131,-0.520087
0,0,1092839,-0.5,0.25,0.318189,22,116,1,1,0,0.000779037,0.00549509,5.07444e-10,1.45077,0.525109,-0.525146
0,0,1100758,-0.5,0.25,6.09095,22,115,1,1,0,0.000808663,0.00480659,5.07414e-10,1.43903,0.523689,-0.523628
0,0,1108677,-0.5,0.25,0.1731,22,116,1,1,0,0.000730649,0.0053749,5.07472e-10,1.45069,0.525712,-0.525718
0,0,1116596,-0.5,0.25,5.55498,22,116,1,1,0,0.000807747,0.00535937,5.07291e-10,1.45103,0.527862,-0.527921
0,0,1124515,-0.5,0.25,3.13215,22,115,1,1,0,0.000801582,0.00520335,5.07366e-10,1.43914,0.52132,-0.521366
0,0,1132434,-0.5,0.25,1.43186,22,116,1,1,0,0.000730987,0.00537765,5.07549e-10,1.45069,0.525689,-0.525696
0,0,1393761,-0.5,0.25,1.19147,22,115,1,1,0,0.000798533,0.00500178,5.07561e-10,1.43884,0.521413,-0.521358
0,0,1401680,-0.5,0.25,5.5297,22,116,1,1,0,0.000808808,0.00539515,5.07374e-10,1.45099,0.527357,-0.527417
