# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: 0d6d40e
# date: 2026-07-03 05:56 UTC
# trials_per_cell: 5  steps: 500  controller: separatrix_logic_c_step
# start_mode: fixed  fixed_start: (0.0, 0.35)  start_box: (-0.8, 0.8, -0.4, 0.4)
# band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0.01,0.005,10036676,0,0.35,1.44226,0,106,0,1,0,0,0,0.0262396,0.0748201,4.13583e-10,1.51676,0.110315,-0.522842
0.01,0.01,10010000,0,0.35,2.7479,0,142,0,1,0,0,0,0.120587,0.397588,7.17898e-10,1.99901,-0.420965,-0.524754
0.01,0.01,10017919,0,0.35,4.79479,0,160,0,1,0,0,0,0.118723,0.403735,7.12561e-10,2.2339,0.475117,-0.521546
0.01,0.01,10025838,0,0.35,2.84613,0,220,0,1,0,0,0,0.362629,0.982718,1.95967e-09,3.00475,1.00144,-0.206855
0.01,0.01,10033757,0,0.35,2.31867,0,107,1,1,1,0,0,0.0143368,0.0333858,3.66575e-10,1.43375,-0.0187455,-0.443067
0.01,0.01,10041676,0,0.35,2.62389,0,109,1,1,0,0,0,0.0225415,0.0743618,3.83872e-10,1.53854,0.0122683,-0.444406
0.01,0.02,10020000,0,0.35,3.33428,0,129,0,1,0,0,0,0.0598063,0.234708,5.10831e-10,1.80323,0.265686,-0.521046
0.01,0.02,10027919,0,0.35,3.38479,0,215,0,1,0,0,0,0.30956,0.965872,1.63071e-09,2.86217,-1.00221,-0.358123
0.01,0.02,10035838,0,0.35,5.87505,0,175,0,1,0,0,0,0.147068,0.556332,9.54577e-10,2.38264,-0.630245,-0.52177
0.01,0.02,10043757,0,0.35,4.26573,0,108,1,1,1,0,0,0.0122868,0.028775,4.17164e-10,1.46208,-0.000797141,-0.444917
0.01,0.02,10051676,0,0.35,6.21435,0,96,1,1,1,0,0,0.0199909,0.054682,3.50252e-10,1.34344,0.013119,-0.446094
0.01,0.05,10050000,0,0.35,5.7461,0,195,0,1,0,0,0,0.400474,0.970745,1.41676e-09,2.47397,1.00401,-0.408992
0.01,0.05,10057919,0,0.35,4.62102,0,170,0,1,0,0,0,0.172163,0.559582,8.74635e-10,2.24355,-0.621796,-0.521652
0.01,0.05,10065838,0,0.35,5.10405,0,346,0,1,0,0,0,0.475184,0.960181,6.72113e-06,4.46529,-0.128054,0.520964
0.01,0.05,10073757,0,0.35,0.93288,0,100,1,1,1,0,0,0.017546,0.0471555,2.84696e-10,1.28118,0.00534504,-0.443367
0.01,0.05,10081676,0,0.35,3.7375,0,123,0,1,0,0,0,0.0593134,0.246487,5.29699e-10,1.5676,-0.300283,-0.520173
0.02,0,20000000,0,0.35,1.60667,0,89,1,1,1,0,0,0.00861825,0.0167938,3.10688e-10,1.18422,0.0104079,-0.446527
0.02,0,20007919,0,0.35,4.04877,0,122,0,1,0,0,0,0.0424347,0.126473,5.60353e-10,1.64635,0.194381,-0.521439
0.02,0,20015838,0,0.35,2.21193,0,194,0,1,0,0,0,0.190616,0.678104,1.32487e-09,2.57633,-0.76463,-0.520955
0.02,0,20023757,0,0.35,1.94202,0,102,1,1,1,0,0,0.00922165,0.0193321,3.8536e-10,1.34135,-0.0123572,-0.441711
0.02,0,20031676,0,0.35,2.76594,0,115,0,1,0,0,0,0.0557378,0.196512,4.41573e-10,1.58714,-0.219803,-0.526715
0.02,0.005,20005000,0,0.35,2.04938,0,150,0,1,0,0,0,0.13296,0.458951,7.38096e-10,2.00375,-0.519387,-0.522492
0.02,0.005,20012919,0,0.35,4.32179,0,132,0,1,0,0,0,0.0428766,0.167793,6.5486e-10,1.72485,-0.229591,-0.520251
0.02,0.005,20020838,0,0.35,4.75733,0,135,0,1,0,0,0,0.069142,0.266656,5.65638e-10,1.84772,0.328322,-0.524965
0.02,0.005,20028757,0,0.35,0.507123,0,245,0,1,0,0,0,0.492598,0.987772,3.76959e-09,3.29222,1.00005,0.181666
0.02,0.005,20036676,0,0.35,5.79583,0,98,1,1,1,0,0,0.0252806,0.0580522,3.70013e-10,1.30446,0.0250526,-0.449525
0.02,0.01,20010000,0,0.35,3.38147,0,94,1,1,1,0,0,0.0363225,0.0615727,3.70009e-10,1.30747,0.0287362,-0.453657
0.02,0.01,20017919,0,0.35,0.715943,0,95,1,1,0,0,0,0.029906,0.0683316,3.70017e-10,1.24973,-0.0453005,-0.466003
