# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: ad76bbf
# date: 2026-07-03 05:50 UTC
# trials_per_cell: 1000  steps: 500  controller: separatrix_logic_c_step
# start_box: (-0.8, 0.8, -0.4, 0.4)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0,0,1069065,-0.52723,0.158447,2.3189,44,127,1,1,1,43,0,0.00341997,0.00698138,5.86608e-10,1.71871,-0.00551347,-0.44787
0,0,1076984,-0.618567,0.241088,5.42961,49,65,0,1,0,47,0,0.0177566,0.0402482,2.08069e-10,0.955197,-0.00760018,0.523583
0,0,1084903,0.228178,-0.346764,4.34021,-1,68,0,0,0,-1,0,0.717817,0.982575,2.08067e-10,0.892139,1.0071,-0.478576
0,0,1092822,0.651501,-0.0506439,4.12137,-1,32,0,0,0,-1,0,0.823909,0.989593,8.71265e-11,0.51709,1.0045,0.271587
0,0,1100741,0.241226,-0.222327,1.21361,-1,22,1,0,1,15,0,0.121275,0.230253,5.405e-11,0.373199,-0.00902513,-0.44301
0,0,1108660,0.549146,0.277193,3.07014,43,67,0,1,0,42,0,0.029426,0.0606741,2.08071e-10,1.01025,-0.0263175,0.520176
0,0,1116579,-0.0906958,0.179906,4.99474,5,55,1,1,1,3,0,0.00391556,0.0192335,1.63774e-10,0.699675,-0.00111493,-0.451373
0,0,1124498,-0.603075,0.258385,4.45807,48,137,1,1,1,46,0,0.00285718,0.0136591,6.73603e-10,1.83698,-0.0016708,-0.444388
0,0,1132417,-0.696477,-0.302954,4.386,-1,28,0,0,0,-1,0,0.848813,0.995288,5.40499e-11,0.46834,-1.00416,-0.495996
0,0,886928,0.796063,0.00860369,3.36411,-1,21,0,0,0,-1,0,0.901372,0.997753,5.40499e-11,0.339476,1.00298,0.232951
0,0,894847,-0.762534,-0.35582,1.87011,-1,22,0,0,0,-1,0,0.87934,0.991485,5.40498e-11,0.372232,-1.00597,-0.491024
0,0,902766,-0.590189,-0.0245645,2.31752,-1,37,0,0,0,-1,0,0.789235,0.983169,8.71268e-11,0.622845,-1.00524,0.384939
0,0,910685,0.0886747,-0.374591,3.74625,-1,9,1,0,1,2,0,0.0472947,0.0822173,8.08835e-13,0.152735,0.00283399,-0.450711
0,0,918604,-0.362697,0.0735303,6.01268,28,49,1,1,1,27,0,0.00896423,0.0302795,1.23587e-10,0.73281,-0.00560956,-0.450066
0,0,926523,-0.406146,0.0528293,6.00705,31,45,1,1,1,30,0,0.0130454,0.0422643,1.23587e-10,0.727292,-0.0038316,-0.441933
0,0,934442,0.593526,-0.368278,3.00812,-1,37,0,0,0,-1,0,0.795343,0.988113,8.71269e-11,0.527653,1.00196,-0.497154
0,0,942361,-0.54196,0.243126,4.5407,-1,50,0,0,0,43,0,0.277267,0.521169,1.23587e-10,0.726617,0.00238413,0.524023
0,0,950280,-0.63053,0.377425,5.52141,-1,57,0,0,0,48,0,0.269494,0.532298,1.63774e-10,0.75119,0.0108623,0.525616
0,0,958199,-0.717621,-0.135359,2.51187,-1,28,0,0,0,-1,0,0.861257,0.994719,5.405e-11,0.45672,-1.00282,0.176989
0,0,966118,0.262975,0.35645,5.44511,-1,26,0,0,0,18,0,0.127984,0.251221,5.40499e-11,0.43637,-0.00871555,0.528384
0,0,974037,-0.480404,-0.116575,1.35608,-1,48,0,0,0,-1,0,0.732261,0.982991,1.23587e-10,0.788509,-1.00471,-0.50002
0,0,981956,-0.678459,0.0141419,2.50192,-1,30,0,0,0,-1,0,0.83489,0.986682,5.40499e-11,0.505309,-1.00279,0.350652
0,0,989875,-0.545341,0.262474,5.27086,43,60,0,1,0,41,0,0.0163583,0.0393567,1.63774e-10,0.890583,-0.0239505,0.523592
0,0,997794,-0.274024,0.132589,3.93048,20,51,1,1,1,18,0,0.00818314,0.0327464,1.63774e-10,0.728844,0.00474771,-0.449656
