Frame,Time,Quat_X,Quat_Y,Quat_Z,Quat_W,Marker1_X,Marker1_Y,Marker1_Z,Marker2_X,Marker2_Y,Marker2_Z,Marker3_X,Marker3_Y,Marker3_Z,Roll_deg,Pitch_deg,Yaw_deg
69,0.69,-0.007856,0.823339,-0.009599,-0.567415,-0.124807,0.148344,-0.434436,0.901581,-0.084621,0.147978,-0.566185,-0.114333,0.149017,-178.89072182076313,-69.14761534500272,-179.6711471784867
70,0.7,-0.015406,0.823646,-0.013171,-0.566742,-0.124975,0.147682,-0.434492,0.906017,-0.084486,0.148158,-0.566287,-0.114422,0.149032,-179.32099732321757,-69.06644424592642,-178.32410494702245
71,0.71,-0.016311,0.823676,-0.013787,-0.566658,-0.124962,0.147664,-0.434502,0.915603,-0.084477,0.148231,-0.566249,-0.114323,0.149037,-179.3224968381751,-69.05675422667194,-178.19720544189653
72,0.72,-0.016451,0.823666,-0.013728,-0.566671,-0.124974,0.147604,-0.434497,0.906442,-0.084475,0.148198,-0.566254,-0.114385,0.14902,-179.3635771022674,-69.05867804069138,-178.14946614613328
73,0.73,-0.016055,0.823427,-0.014149,-0.567018,-0.124998,0.147617,-0.434421,0.9036,-0.084628,0.148041,-0.566061,-0.114472,0.148956,-179.18148102714977,-69.10734295821771,-178.32968619968824
74,0.74,-0.01626,0.823621,-0.01337,-0.56675,-0.124996,0.147575,-0.434473,0.911078,-0.084486,0.148196,-0.566279,-0.114465,0.149,-179.42375815796112,-69.06865873003999,-178.13456866676444
75,0.75,-0.015394,0.823627,-0.012989,-0.566774,-0.124995,0.147645,-0.434442,0.907002,-0.08449,0.148137,-0.566238,-0.114459,0.149034,-179.36701655653832,-69.07049484780114,-178.29408873556838
76,0.76,-0.014276,0.823944,-0.011588,-0.566373,-0.125111,0.147421,-0.434461,0.913966,-0.084531,0.148117,-0.566246,-0.114461,0.14852,-179.53216715322483,-69.01114713169,-178.33633851657913
77,0.77,-0.015835,0.823589,-0.0144,-0.566783,-0.125008,0.147505,-0.434497,0.889742,-0.084575,0.148009,-0.566123,-0.114439,0.148487,-179.07440168348396,-69.07496908479801,-178.43408481459176
78,0.78,-0.017409,0.823637,-0.01534,-0.566643,-0.124983,0.147509,-0.434557,0.894761,-0.084479,0.148189,-0.566262,-0.114438,0.148561,-179.11187484134396,-69.05922932501196,-178.1893458141095
79,0.79,-0.01729,0.823673,-0.015087,-0.566601,-0.125002,0.147554,-0.434567,0.900269,-0.084469,0.148284,-0.566299,-0.114461,0.148576,-179.1569147535521,-69.05269120799828,-178.17493812315917
80,0.8,-0.017023,0.82371,-0.014829,-0.566562,-0.125015,0.147474,-0.434574,0.889468,-0.084459,0.14818,-0.566293,-0.11446,0.148509,-179.1763869822828,-69.0464159789789,-178.19871055796574
81,0.81,-0.017686,0.823665,-0.015144,-0.566598,-0.125028,0.147408,-0.434509,0.894714,-0.084482,0.1482,-0.566213,-0.114516,0.14848,-179.21380338813685,-69.05268439710963,-178.08070311410984
82,0.82,-0.016964,0.823643,-0.014565,-0.566668,-0.124989,0.147468,-0.434497,0.889324,-0.084449,0.148196,-0.566264,-0.114467,0.148554,-179.23576059145145,-69.06051747680642,-178.1660187472902
83,0.83,-0.01435,0.823781,-0.012505,-0.566588,-0.125111,0.147469,-0.434433,0.921703,-0.084603,0.14797,-0.566167,-0.114489,0.148544,-179.30447751489032,-69.04278154105873,-178.48245608622074
84,0.84,-0.014451,0.823727,-0.012926,-0.566655,-0.125105,0.147431,-0.434475,0.917181,-0.084637,0.147879,-0.566198,-0.114511,0.148469,-179.21186168720334,-69.05301722154707,-178.53209068476963
85,0.85,-0.015935,0.82379,-0.014625,-0.566482,-0.125014,0.147567,-0.434628,0.913194,-0.084439,0.148088,-0.566325,-0.114464,0.148494,-179.03246580759452,-69.03361415699676,-178.44906459845186
86,0.86,-0.017693,0.823631,-0.015495,-0.566639,-0.124935,0.147527,-0.43455,0.888181,-0.084409,0.148251,-0.566249,-0.114426,0.148574,-179.12254590713272,-69.05935904726465,-178.142494158679
87,0.87,-0.016087,0.82346,-0.014089,-0.566972,-0.124969,0.147708,-0.434394,0.899041,-0.084594,0.148128,-0.566013,-0.114421,0.149093,-179.20304521143473,-69.1010201245267,-178.31041585293826
88,0.88,-0.016643,0.823673,-0.014358,-0.566639,-0.125028,0.14764,-0.434447,0.90175,-0.084504,0.148177,-0.566185,-0.114479,0.148984,-179.23197677837473,-69.05570614917954,-178.213299345778
89,0.89,-0.012944,0.823944,-0.010903,-0.566418,-0.125134,0.147646,-0.4344,0.929094,-0.084549,0.147978,-0.566186,-0.114473,0.149006,-179.4714617640338,-69.01523471058914,-178.56329400875336
90,0.9,-0.012443,0.823859,-0.010751,-0.566556,-0.125085,0.147639,-0.434445,0.929074,-0.084588,0.147882,-0.566213,-0.114366,0.148971,-179.42108343020038,-69.03386335761955,-178.6675506289108
91,0.91,-0.015422,0.823704,-0.013147,-0.566658,-0.124976,0.147642,-0.434484,0.899688,-0.084436,0.148121,-0.566278,-0.114429,0.149004,-179.32994522983725,-69.0547473484782,-178.31577341754007
92,0.92,-0.015321,0.823727,-0.013067,-0.566628,-0.124982,0.1477,-0.434509,0.898931,-0.084435,0.148177,-0.566288,-0.114435,0.14905,-179.33260852347604,-69.05018558219312,-178.3280012628325
93,0.93,-0.015994,0.82375,-0.013882,-0.566558,-0.124981,0.147768,-0.434511,0.89813,-0.084421,0.148272,-0.566258,-0.114434,0.149061,-179.2394640030689,-69.04287933171685,-178.29848775844872
94,0.94,-0.017299,0.823622,-0.014528,-0.566689,-0.124964,0.147612,-0.434489,0.899422,-0.084424,0.148322,-0.566291,-0.114455,0.148909,-179.30651994620362,-69.063607158631,-178.07070767924986
95,0.95,-0.015486,0.823508,-0.013551,-0.566932,-0.125017,0.147642,-0.434374,0.899372,-0.084617,0.148029,-0.566007,-0.114489,0.149018,-179.23574467299977,-69.09378561322436,-178.3715563306035
96,0.96,-0.011297,0.823389,-0.011147,-0.567255,-0.124981,0.147881,-0.434377,0.92141,-0.084657,0.147858,-0.566134,-0.114519,0.148952,-179.1089204283732,-69.13060728536713,-179.0418119882401
97,0.97,-0.01018,0.823245,-0.010973,-0.56749,-0.124977,0.147945,-0.434315,0.898213,-0.084807,0.147687,-0.565937,-0.114483,0.14896,-178.95095331913276,-69.16201053742597,-179.30625621022705
98,0.98,-0.0162,0.823524,-0.015047,-0.56685,-0.125032,0.147525,-0.434445,0.900729,-0.084582,0.148005,-0.566092,-0.114583,0.148466,-178.96993647680756,-69.08590412963129,-178.45518490802124
99,0.99,-0.016992,0.823593,-0.015763,-0.566708,-0.124985,0.147592,-0.43444,0.885472,-0.084525,0.148136,-0.566003,-0.114499,0.148511,-178.92449790999734,-69.06865513430871,-178.37626924675664
100,1.0,-0.015889,0.823493,-0.014613,-0.566915,-0.124951,0.147776,-0.434414,0.883781,-0.084578,0.148095,-0.566008,-0.114387,0.149023,-179.02821468039775,-69.09373160255534,-178.4583377036366
101,1.01,-0.016177,0.823541,-0.014521,-0.56684,-0.125012,0.147646,-0.434418,0.901067,-0.084617,0.148028,-0.566019,-0.114417,0.148963,-179.104795752505,-69.08351137838821,-178.36556593884293
102,1.02,-0.014675,0.823466,-0.013529,-0.567014,-0.125038,0.147663,-0.434379,0.901518,-0.084684,0.147879,-0.565985,-0.114472,0.148955,-179.09402535009608,-69.10419279135984,-178.58195591932852
103,1.03,-0.007914,0.823135,-0.01024,-0.567699,-0.124863,0.148318,-0.434338,0.869193,-0.084786,0.147814,-0.565915,-0.114484,0.14898,-178.73046578443723,-69.18745640010066,-179.773905024209
104,1.04,-0.008373,0.823225,-0.010174,-0.567562,-0.124865,0.148259,-0.434354,0.877264,-0.08474,0.147853,-0.565935,-0.114462,0.149001,-178.83236024783878,-69.16890662949426,-179.6395798765392
105,1.05,-0.015933,0.823668,-0.01337,-0.56669,-0.125031,0.147591,-0.434454,0.921092,-0.084527,0.148132,-0.566166,-0.114452,0.148997,-179.36404619561728,-69.05995025121045,-178.22118910968442
106,1.06,-0.016669,0.823602,-0.014402,-0.56674,-0.124936,0.147648,-0.434465,0.899431,-0.084442,0.148236,-0.566215,-0.114455,0.148897,-179.22544658513738,-69.06983482178883,-178.21411560759836
107,1.07,-0.015823,0.823387,-0.014276,-0.567079,-0.124958,0.14766,-0.434404,0.88577,-0.08461,0.148065,-0.56604,-0.114467,0.148866,-179.10574275103505,-69.11578679648302,-178.41410796648583
108,1.08,-0.015355,0.823537,-0.013731,-0.566889,-0.125042,0.147664,-0.434443,0.908861,-0.084655,0.147976,-0.566072,-0.114446,0.149032,-179.16416668018195,-69.08801171743158,-178.43907288677553
109,1.09,-0.015351,0.82343,-0.013949,-0.567038,-0.125042,0.147588,-0.434347,0.895306,-0.084675,0.147928,-0.565996,-0.114506,0.148814,-179.10613884114346,-69.10899418489734,-178.47953549139066
110,1.1,-0.015366,0.823645,-0.013055,-0.566747,-0.124998,0.147641,-0.434423,0.900755,-0.084522,0.148099,-0.566162,-0.1144,0.149045,-179.34438658772567,-69.06684265451806,-178.31357240591677
111,1.11,-0.015065,0.82349,-0.01312,-0.566978,-0.125011,0.147652,-0.434385,0.894719,-0.084618,0.148033,-0.566016,-0.114482,0.149012,-179.27319899539538,-69.09875654563716,-178.40432352438293
112,1.12,-0.01555,0.823445,-0.013838,-0.567015,-0.125007,0.147653,-0.434381,0.908894,-0.084633,0.148004,-0.566042,-0.11447,0.149004,-179.17172767304902,-69.10597886359962,-178.40669510911917
113,1.13,-0.014505,0.823596,-0.013213,-0.566838,-0.125044,0.147684,-0.434418,0.894681,-0.084634,0.14799,-0.566054,-0.11446,0.148873,-179.14628246394676,-69.0791071459801,-178.56966647599242
114,1.14,-0.015338,0.823591,-0.01369,-0.566811,-0.125021,0.147713,-0.434497,0.915902,-0.084561,0.148067,-0.566225,-0.114476,0.14902,-179.17170097032238,-69.07694156696817,-178.43626770954626
115,1.15,-0.016526,0.823379,-0.014928,-0.567055,-0.124991,0.147646,-0.434402,0.889855,-0.084637,0.148063,-0.566018,-0.114493,0.148899,-179.06128739380102,-69.11466600150476,-178.34689942143993
116,1.16,-0.016081,0.823528,-0.014513,-0.566861,-0.125049,0.147682,-0.434383,0.896987,-0.084626,0.148044,-0.565969,-0.114502,0.148991,-179.0894897357075,-69.08620856861619,-178.3894471135758
117,1.17,-0.018291,0.823817,-0.013929,-0.56639,-0.125159,0.147209,-0.434394,0.799555,-0.084517,0.148072,-0.566215,-0.114488,0.148962,-179.64308988043703,-69.02120155184059,-177.70157003278638
118,1.18,-0.017456,0.823628,-0.013713,-0.566697,-0.125144,0.147252,-0.434284,0.813707,-0.084653,0.147938,-0.566024,-0.114469,0.148997,-179.55036379187024,-69.0629797156257,-177.88110523628538
119,1.19,-0.015175,0.823524,-0.013782,-0.566911,-0.125048,0.14772,-0.434399,0.906268,-0.084646,0.148017,-0.566048,-0.114482,0.14901,-179.11796078047297,-69.09091746532657,-178.4959173299569
120,1.2,-0.013765,0.823597,-0.012018,-0.566881,-0.125004,0.147712,-0.434402,0.905483,-0.084633,0.148003,-0.566054,-0.114353,0.149065,-179.32761458071357,-69.08223779473686,-178.54780978990937
