# generated_by: experiments/basin_map.py
# git_commit: 148df0a
# date: 2026-07-17T07:58:13.104293+00:00
# mode: grid_heading0_relaxed  max_steps: 800  x_exit: 1.1  y_exit: 0.6
# grid: 200x100 over [-1.0,1.0]x[-0.5,0.5]  subsample: 20x10x10
# controller: separatrix_logic_c_step (Logic C), zero noise
# collapse_rms: 0.3  saddle_contact_d: 0.06
# core_park: final_D > 0.0 and final_gradD < 0.5
sigma_uv,sigma_p,seed,start_x,start_y,heading,steps,success_traverse,collapsed,final_x,final_y,final_D,final_gradD,dist_core,min_d_top,min_d_bot,outcome
0.0,0.0,1000131,-0.985,-0.185,0.0,91,0,0,-1.1109104849835394,0.4903176788131667,-0.8596372671665092,1.9728925587470048,0.7833409518335902,0.9762590379621203,1.0341421565722964,EXIT
0.0,0.0,1000132,-0.985,-0.175,0.0,95,0,0,-1.111618983183299,0.4959853823942175,-0.858988068261369,1.976035188853453,0.7874511287304824,0.9251123451011194,1.0372318930692404,EXIT
0.0,0.0,1000133,-0.985,-0.16499999999999998,0.0,238,1,0,-1.6016380182763228e-08,-0.4404355875418175,-0.9403778743229099,1.1187421520418896,0.6663208617152295,0.009742519808179749,0.0715644122123619,TRAVERSE
0.0,0.0,1000134,-0.985,-0.15500000000000003,0.0,243,1,0,-2.533155888292023e-08,-0.447880756092556,-0.9482081352806199,0.9843218504847591,0.6712653322989959,0.010606587741406468,0.06411924374142104,TRAVERSE
0.0,0.0,1000135,-0.985,-0.14500000000000002,0.0,279,1,0,-8.155653062613677e-09,-0.44120174882191826,-0.9412297551895603,1.1050173713192586,0.6668275451778114,0.01113727191764699,0.0707982510047783,TRAVERSE
0.0,0.0,1000136,-0.985,-0.135,0.0,73,0,0,-1.1047685270510192,0.559589236764634,-0.8385797965492005,2.1811298167301163,0.8239448314142671,0.9850722442668691,1.0504522835426653,EXIT
0.0,0.0,1000137,-0.985,-0.125,0.0,108,0,0,-1.1015346966781936,0.4910988688049498,-0.8775331997835487,1.8305378256022034,0.7765449698821233,0.9629005722074905,1.0539686902370489,EXIT
0.0,0.0,1000138,-0.985,-0.11499999999999999,0.0,79,0,0,-1.107746841305176,0.49701311052858904,-0.8665920156023775,1.9179273563775276,0.7850976086791517,0.9731727134986443,1.057567964719053,EXIT
0.0,0.0,1000139,-0.985,-0.10499999999999998,0.0,70,0,0,-1.108999627754511,0.5183924636706014,-0.8610157755258355,1.9676809668111426,0.7997570212230768,0.9985817820875014,1.0612492638395563,EXIT
0.0,0.0,1000140,-0.985,-0.09499999999999997,0.0,61,0,0,-1.1102803255559601,0.49432608959288976,-0.8614635615970752,1.9578336349438688,0.7853663849521995,1.0002008010095338,1.065011737024527,EXIT
0.0,0.0,1000141,-0.985,-0.08500000000000002,0.0,84,0,0,-1.1016473796594943,0.4984227241468002,-0.8780653280931789,1.824519811698324,0.7812840593516887,0.9355719880533084,1.0688545270522083,EXIT
0.0,0.0,1000142,-0.985,-0.07500000000000001,0.0,109,0,0,-1.1068456949233894,0.5347429200216963,-0.8568406121465582,2.0156015819598436,0.8088335353831353,0.9842948677857237,1.0727767708148792,EXIT
0.0,0.0,1000143,-0.985,-0.065,0.0,232,1,0,-1.6647810748005032e-08,-0.45123997404580024,-0.9514117239846802,0.9229493166201144,0.6735113195255474,0.011281704439094702,0.06076002578446689,TRAVERSE
0.0,0.0,1000144,-0.985,-0.05499999999999999,0.0,274,1,0,-9.601256204435268e-09,-0.442986720710236,-0.9431735747154475,1.0729431484921752,0.6680098989718285,0.011166861847785328,0.06901327912057162,TRAVERSE
0.0,0.0,1000145,-0.985,-0.044999999999999984,0.0,56,0,0,-1.1027823871659277,0.49626510689454234,-0.8758746594050241,1.8431425185435133,0.7807852858491289,1.0000451629123361,1.085011520676163,EXIT
0.0,0.0,1000146,-0.985,-0.034999999999999976,0.0,56,0,0,-1.1070950744354804,0.4938948545826958,-0.8675657849919203,1.910890424441828,0.7826215923337942,1.000228965766488,1.0892428562997327,EXIT
0.0,0.0,1000147,-0.985,-0.025000000000000022,0.0,61,0,0,-1.1117043032807035,0.49637307907442185,-0.8588480273133356,1.9770104045447414,0.7877616316386278,0.9985513156337334,1.0935492672943457,EXIT
0.0,0.0,1000148,-0.985,-0.015000000000000013,0.0,218,1,0,-7.249844298969539e-09,-0.44537600607288397,-0.9456856479907625,1.029799483772479,0.6695967290359096,0.010670638654393409,0.066623993760875,TRAVERSE
0.0,0.0,1000149,-0.985,-0.0050000000000000044,0.0,220,1,0,-2.530345382760017e-08,-0.44698063092167084,-0.9473147516796675,1.000693675139994,0.6706650871453513,0.010620854587206506,0.06501936891253438,TRAVERSE
0.0,0.0,1000150,-0.985,0.0050000000000000044,0.0,74,0,0,-1.104752597589105,0.48983845453671243,-0.8713580651322831,1.8820108817055228,0.7782463721943617,0.9534197799159156,1.106910113785216,EXIT
0.0,0.0,1000151,-0.985,0.015000000000000013,0.0,208,1,0,-2.7057902788711157e-08,-0.4519915372498069,-0.9521001986461304,0.909161085831761,0.6740150760090916,0.010841423142747357,0.060008462579032244,TRAVERSE
0.0,0.0,1000152,-0.985,0.025000000000000022,0.0,206,1,0,-1.3310890107735377e-08,-0.44523040412240356,-0.9455355152711767,1.0324353780284323,0.6694998875609381,0.010927788077786233,0.0667695957112353,TRAVERSE
0.0,0.0,1000153,-0.985,0.03500000000000003,0.0,98,0,0,-1.1075784260348456,0.5999819339620972,-0.7740155229571994,2.6267701581540353,0.8538910146288452,0.987718068677179,1.1209148049695838,EXIT
0.0,0.0,1000154,-0.985,0.04500000000000004,0.0,247,1,0,-1.2346552373069622e-08,-0.4404641818227882,-0.9404098566336427,1.1182303865298309,0.6663397655267663,0.011069746083680287,0.07153581793129601,TRAVERSE
0.0,0.0,1000155,-0.985,0.05500000000000005,0.0,57,0,0,-1.1023900596737293,0.5529378165293904,-0.8500355355495036,2.09003991878952,0.8176882125492632,0.984842252589904,1.1305971873306602,EXIT
0.0,0.0,1000156,-0.985,0.06499999999999995,0.0,56,0,0,-1.1019935310594837,0.5504310069197078,-0.853209865861684,2.063173314752113,0.815702460959944,0.9933891975283005,1.1355395193475215,EXIT
0.0,0.0,1000157,-0.985,0.07499999999999996,0.0,209,1,0,-1.7546163288510257e-08,-0.4418697277613442,-0.9419638811077002,1.093030492676547,0.6672696896800584,0.011180117854303671,0.0701302720670867,TRAVERSE
0.0,0.0,1000158,-0.985,0.08499999999999996,0.0,201,1,0,-1.581775224227903e-08,-0.44822378264533896,-0.9485447124277547,0.978074436964606,0.6714942617112555,0.010970582099565503,0.06377621718846017,TRAVERSE
0.0,0.0,1000159,-0.985,0.09499999999999997,0.0,51,0,0,-1.1080119548923242,0.5098911732451112,-0.8652287410560505,1.930417352620019,0.7935159392509149,0.9985427996282301,1.1507606180261818,EXIT
