Time(s),radius001,radius01,radius02,radius03,radius04
289.000000,0.219282,0.182960,0.640696,0.582733,0.418728
290.000000,0.213590,0.182068,0.644830,0.575479,0.423661
291.000000,0.207938,0.181469,0.647123,0.567796,0.427514
292.000000,0.201592,0.183010,0.648892,0.560372,0.429818
293.000000,0.194980,0.186773,0.637032,0.553504,0.431288
294.000000,0.189918,0.190906,0.624083,0.545489,0.432928
295.000000,0.186121,0.196214,0.616312,0.537371,0.433099
296.000000,0.183220,0.205446,0.605209,0.529402,0.434505
297.000000,0.181357,0.215187,0.597491,0.521869,0.433639
298.000000,0.181192,0.224998,0.592390,0.514828,0.431383
299.000000,0.183833,0.235607,0.586393,0.507398,0.425299
300.000000,0.188175,0.246539,0.580107,0.500748,0.417748
301.000000,0.195094,0.256606,0.574895,0.494254,0.410046
302.000000,0.201793,0.261615,0.569717,0.488246,0.400516
303.000000,0.209648,0.266949,0.564869,0.482606,0.390607
304.000000,0.218907,0.271500,0.559108,0.477734,0.379988
305.000000,0.228069,0.275932,0.553398,0.472668,0.369596
306.000000,0.238199,0.282700,0.547942,0.467342,0.361110
307.000000,0.249650,0.287959,0.540783,0.460418,0.351255
308.000000,0.260697,0.294031,0.534478,0.457625,0.342908
309.000000,0.272615,0.306512,0.529322,0.458874,0.332152
310.000000,0.284912,0.319871,0.523452,0.459857,0.319152
311.000000,0.296904,0.332017,0.516673,0.457332,0.304910
312.000000,0.309535,0.344508,0.509586,0.455333,0.293483
313.000000,0.322437,0.358390,0.503172,0.451459,0.273889
314.000000,0.336041,0.372091,0.495354,0.447586,0.249283
315.000000,0.348858,0.385819,0.486066,0.444074,0.241490
316.000000,0.362909,0.399289,0.476738,0.440953,0.236392
317.000000,0.376698,0.410600,0.470009,0.438352,0.232452
318.000000,0.390649,0.416264,0.464495,0.435647,0.229557
319.000000,0.404794,0.427658,0.458244,0.432110,0.226731
320.000000,0.418899,0.441887,0.454201,0.427723,0.223862
321.000000,0.427593,0.456043,0.450938,0.424331,0.222932
322.000000,0.422807,0.469646,0.450057,0.420674,0.222923
323.000000,0.421151,0.483855,0.452185,0.416819,0.223534
324.000000,0.421283,0.494560,0.450156,0.412419,0.224556
325.000000,0.420968,0.501185,0.442007,0.408786,0.226454
326.000000,0.422198,0.513271,0.434383,0.405655,0.229242
327.000000,0.422925,0.527737,0.427801,0.402478,0.233741
328.000000,0.421904,0.539375,0.426373,0.399407,0.238412
329.000000,0.422498,0.544842,0.425149,0.396587,0.243652
330.000000,0.423758,0.558445,0.421977,0.393535,0.249440
331.000000,0.424265,0.572607,0.417305,0.390952,0.254955
332.000000,0.423822,0.586403,0.412794,0.388432,0.260359
333.000000,0.424979,0.599811,0.408604,0.386632,0.265424
334.000000,0.430021,0.613115,0.402796,0.384998,0.271412
335.000000,0.434925,0.625561,0.398032,0.383572,0.277307
336.000000,0.437062,0.638288,0.393748,0.382692,0.283070
337.000000,0.434367,0.644490,0.388902,0.382458,0.286427
338.000000,0.435146,0.639940,0.383302,0.383204,0.288495
339.000000,0.439428,0.631954,0.376920,0.384221,0.293760
340.000000,0.439742,0.621592,0.370313,0.384560,0.297792
341.000000,0.439401,0.611484,0.364358,0.385791,0.301840
342.000000,0.439166,0.601975,0.358776,0.387639,0.305741
343.000000,0.434532,0.592268,0.353528,0.388735,0.307941
344.000000,0.424266,0.584681,0.349328,0.389842,0.309725
345.000000,0.415790,0.577128,0.344528,0.390655,0.313361
346.000000,0.408037,0.569827,0.340210,0.392038,0.315568
347.000000,0.402912,0.564104,0.336627,0.393657,0.316826
348.000000,0.395771,0.559071,0.332621,0.395615,0.318287
349.000000,0.389189,0.553315,0.329281,0.398165,0.319087
350.000000,0.380807,0.547480,0.326337,0.400309,0.321052
351.000000,0.372351,0.541633,0.323562,0.402962,0.323779
352.000000,0.368411,0.536251,0.321475,0.405928,0.327363
353.000000,0.363566,0.530342,0.319435,0.408957,0.330888
354.000000,0.357389,0.523331,0.317657,0.412403,0.336681
355.000000,0.350562,0.515677,0.316417,0.416116,0.340808
356.000000,0.342250,0.508828,0.316163,0.418611,0.345862
357.000000,0.334625,0.500366,0.315957,0.420854,0.350786
358.000000,0.326863,0.490996,0.315200,0.422754,0.355673
359.000000,0.319074,0.483538,0.315655,0.423279,0.362306
360.000000,0.314442,0.475668,0.315734,0.423407,0.368473
361.000000,0.308434,0.468326,0.317493,0.423241,0.376081
362.000000,0.301321,0.460969,0.319381,0.421938,0.384108
