timestep,x_c,y_c,radius,p_current,q_current,beta_current,p_error,q_error,beta_error,vp,vq,vbeta,vx_c,vy_c,jacobian_cond
349,-0.4358459411674241,-0.11339466776474257,0.45035545417991113,0.32999999975426736,0.3299991027653136,60.00000002163394,2.4573265644534104e-10,8.972346864366543e-07,-2.1633942110033952e-08,1.2286632822267052e-10,4.4861734321832714e-07,-3.775835200059418e-12,0.06633649869569094,-0.19035069446872666,10.674433474879152
350,-0.43038015791200207,-0.13263843629677755,0.450355454177713,0.32999999974311117,0.329999062031243,60.00000002165484,2.568888435305894e-10,9.37968756997698e-07,-2.165484471540053e-08,1.284444217652947e-10,4.68984378498849e-07,-3.779483392918337e-12,0.07472440584118378,-0.18721693597427008,10.674433715241058
351,-0.4240651635512826,-0.15162048729589903,0.45035545417550116,0.3299999997314485,0.32999901944786336,60.0000000216756,2.6855151435967173e-10,9.805521366534897e-07,-2.1675607376361126e-08,1.3427575717983586e-10,4.902760683267449e-07,-3.783107160870713e-12,0.08296486939741295,-0.18371376755638272,10.674433967089222
352,-0.41691341861169917,-0.17030336604163077,0.45035545417326034,0.3299999997192564,0.3299989749312168,60.00000002169627,2.807435950380466e-10,1.025068783189198e-06,-2.169628098179064e-08,1.403717975190233e-10,5.12534391594599e-07,-3.786715385700745e-12,0.09104162956926515,-0.1798481015447113,10.674434230605323
353,-0.4089390346667259,-0.18865020812974362,0.4503554541709795,0.32999999970651084,0.3299989283935339,60.000000021716836,2.934891774053483e-10,1.071606466118702e-06,-2.1716840087251617e-08,1.4674458870267415e-10,5.35803233059351e-07,-3.790303626516334e-12,0.09893874957543207,-0.1756275655365113,10.674434505939363
354,-0.40015774649241304,-0.20662481221181184,0.45035545416865197,0.3299999996931865,0.32999887974306025,60.00000002173731,3.068135190353871e-10,1.1202569397683604e-06,-2.1737310137181516e-08,1.5340675951769356e-10,5.601284698841802e-07,-3.793876324209577e-12,0.10664064709431387,-0.17106048734613744,10.67443479284731
355,-0.39058688102007627,-0.2241917114264513,0.4503554541662757,0.3299999996792573,0.32999882888387627,60.000000021757685,3.207427101692417e-10,1.171116123743765e-06,-2.1757691131580334e-08,1.6037135508462086e-10,5.855580618718825e-07,-3.797433478780476e-12,0.11413212501051383,-0.16615587857289005,10.674435093728077
356,-0.3802453231474004,-0.24131624338129296,0.4503554541638531,0.32999999966469573,0.3299987757157073,60.00000002177794,3.353042843379228e-10,1.2242842927223663e-06,-2.1777944903791894e-08,1.676521421689614e-10,6.121421463611831e-07,-3.800968428890883e-12,0.12139840140125881,-0.16092341681963998,10.674435408098542
357,-0.3691534784754175,-0.25796461854760633,0.45035545416139083,0.3299999996494731,0.32999872013372644,60.000000021798115,3.5052694080661695e-10,1.279866273573571e-06,-2.17981223426911e-08,1.7526347040330847e-10,6.399331367867855e-07,-3.804490056324994e-12,0.12842513870357447,-0.15537342659731812,10.674435736503792
358,-0.3573332330448868,-0.27410398693261856,0.4503554541588993,0.32999999963355936,0.3299986620283478,60.00000002181821,3.66440655596989e-10,1.3379716521932927e-06,-2.1818210726059223e-08,1.832203277984945e-10,6.689858260966464e-07,-3.80799614063676e-12,0.13519847200466545,-0.14951685895294853,10.674436080456903
359,-0.34480791015152207,-0.28970250289797417,0.45035545415639283,0.32999999961692306,0.3299986012850099,60.00000002183819,3.8307695904293837e-10,1.3987149901084628e-06,-2.1838197331677542e-08,1.9153847952146918e-10,6.993574950542314e-07,-3.811484461380133e-12,0.14170503639967813,-0.1433652698614218,10.674436440258322
360,-0.3316022243252779,-0.30472938799643656,0.450355454153888,0.3299999995995315,0.32999853778395066,60.000000021858106,4.00468491701389e-10,1.4622160493527048e-06,-2.18581076039835e-08,2.002342458506945e-10,7.311080246763524e-07,-3.814959459447209e-12,0.14793199336286295,-0.13693079742364705,10.674436815291973
361,-0.3177422325645009,-0.3191549917028464,0.450355454151404,0.32999999958135046,0.3299984713999706,60.00000002187794,4.186495594638018e-10,1.5286000293879276e-06,-2.1877941542977107e-08,2.093247797319009e-10,7.643000146939638e-07,-3.81842113483799e-12,0.1538670560801053,-0.13022613791607215,10.674437206796684
362,-0.3032552829211686,-0.3329508499195019,0.4503554541489608,0.32999999956234394,0.3299984020021865,60.00000002189767,4.376560780450234e-10,1.597997813518326e-06,-2.189767370422091e-08,2.188280390225117e-10,7.98998906759163e-07,-3.821865046660378e-12,0.1594985136928358,-0.12326452073883402,10.674437616999347
363,-0.2881699605386681,-0.34608974114052327,0.45035545414657957,0.3299999995424746,0.3299983294537729,60.00000002191734,4.575254064498324e-10,1.6705462271282556e-06,-2.1917342254371078e-08,2.287627032249162e-10,8.352731135641278e-07,-3.825297856252519e-12,0.16481525440548603,-0.11605968231196613,10.674438047304244
364,-0.27251603124858764,-0.35854574016437674,0.4503554541442814,0.3299999995217031,0.3299982536116923,60.000000021936955,4.782969020844519e-10,1.7463883076884734e-06,-2.1936959915646345e-08,2.3914845104222593e-10,8.731941538442367e-07,-3.828721784060462e-12,0.16980678741089322,-0.10862583897117477,10.674438494705967
365,-0.256324382837816,-0.37029426924857695,0.4503554541420864,0.3299999994999886,0.32999817432641393,60.000000021956495,5.000114211561879e-10,1.8256735860866513e-06,-2.195650124360926e-08,2.5000571057809395e-10,9.128367930433257e-07,-3.832132389192111e-12,0.17446326359039324,-0.10097765891666086,10.67443896342849
366,-0.2396269641018396,-0.3813121466056302,0.45035545414001366,0.3299999994772883,0.32999809144161785,60.000000021975964,5.227117072514886e-10,1.9085583821687457e-06,-2.1975966238259813e-08,2.613558536257443e-10,9.542791910843729e-07,-3.835529671647464e-12,0.17877549494775533,-0.09313023327034099,10.674439453376243
367,-0.22245672180449405,-0.3915776321445272,0.4503554541380805,0.3299999994535574,0.3299980047938876,60.00000002199539,5.464426133805489e-10,1.995206112437309e-06,-2.199539306625419e-08,2.7322130669027445e-10,9.976030562186544e-07,-3.838920292764669e-12,0.1827349727386141,-0.08509904629857286,10.674439965741751
368,-0.2048475356685597,-0.4010704703675317,0.4503554541363021,0.32999999942874914,0.32999791421238733,60.00000002201474,5.712508799327054e-10,2.0857876126822994e-06,-2.2014743560936217e-08,2.856254399663527e-10,1.0428938063411497e-06,-3.8422975912055794e-12,0.18633388425962535,-0.07689994485914303,10.674440501811935
369,-0.18683415152547522,-0.4097719303376208,0.45035545413469147,0.32999999940281455,0.32999781951852586,60.00000002203408,5.971854677433441e-10,2.1804814741566148e-06,-2.2034081333399517e-08,2.9859273387167207e-10,1.0902407370783074e-06,-3.845672669200439e-12,0.1895651282642198,-0.06854910713280005,10.674441060349436
370,-0.1684521127560763,-0.41766484263771625,0.45035545413325917,0.3299999993757026,0.32999772052560356,60.00000002205335,6.242973915604466e-10,2.279474396460479e-06,-2.2053355494769183e-08,3.121486957802233e-10,1.1397371982302396e-06,-3.849036644965054e-12,0.19242232897453262,-0.060063010701036375,10.674441646668736
371,-0.14973769015763713,-0.42473363324877744,0.45035545413201283,0.32999999934735974,0.3299976170384449,60.000000022072584,6.526402751561022e-10,2.382961555136287e-06,-2.2072591489482675e-08,3.263201375780511e-10,1.1914807775681435e-06,-3.85239395939152e-12,0.19489984866186702,-0.051458400033098234,10.674442258555368
372,-0.13072781037559988,-0.43096435427991314,0.45035545413095784,0.32999999931773016,0.32999750885301343,60.0000000220918,6.822698517261472e-10,2.491146986582926e-06,-2.2091802039758714e-08,3.411349258630736e-10,1.245573493291463e-06,-3.8557468329258885e-12,0.19699279877086304,-0.04275225344638571,10.674442897631101
373,-0.11145998304120712,-0.43634471148987214,0.45035545413009703,0.32999999928675544,0.32999739575600956,60.000000022110996,7.13244574512828e-10,2.604243990456112e-06,-2.211099986781603e-08,3.56622287256414e-10,1.302121995228056e-06,-3.859097486014207e-12,0.19869704956542428,-0.033961749605430296,10.674443566670094
374,-0.09197222675880708,-0.4408640885456107,0.4503554541294304,0.32999999925437445,0.3299972775244499,60.00000002213015,7.456255612936502e-10,2.7224755501098485e-06,-2.2130159529217164e-08,3.728127806468251e-10,1.3612377750549243e-06,-3.862441477764378e-12,0.20000923827736963,-0.025104233625553533,10.674444265340375
375,-0.07230299408887113,-0.44451356797007097,0.45035545412895606,0.3299999992205233,0.329997153925228,60.00000002214933,7.794767054036811e-10,2.8460747720226998e-06,-2.2149331912837026e-08,3.8973835270184054e-10,1.4230373860113499e-06,-3.865787689960598e-12,0.20092677574173032,-0.016197182848091695,10.674444995853902
376,-0.052491095674743936,-0.4472859487378349,0.45035545412866956,0.3299999991851354,0.3299970247146541,60.000000022168464,8.148646202243981e-10,2.9752853459297235e-06,-2.2168466129800712e-08,4.0743231011219905e-10,1.4876426729648617e-06,-3.8691272408186705e-12,0.20144785150559985,-0.007258172354716777,10.674445759702644
377,-0.03257562366283714,-0.44917576048393654,0.4503554541285644,0.32999999914814093,0.3299968896379752,60.00000002218762,8.518590832728989e-10,3.1103620248273955e-06,-2.218762579120185e-08,4.2592954163644947e-10,1.5551810124136978e-06,-3.872471232568842e-12,0.20157143740045744,0.0016951597111021129,10.674446558256347
378,-0.01259587456737094,-0.4501792742977953,0.4503554541286322,0.32999999910946687,0.32999674842887255,60.000000022206756,8.90533147224204e-10,3.2515711274605508e-06,-2.220676000816553e-08,4.45266573612102e-10,1.6257855637302754e-06,-3.875810783426914e-12,0.20129728957091408,0.010645146947066132,10.674447394252741
379,0.007408728268135826,-0.4502945100809727,0.45035545412886285,0.329999999069037,0.32999660080893684,60.00000002222591,9.309630288889537e-10,3.399191063180318e-06,-2.2225919669566668e-08,4.6548151444447683e-10,1.699595531590159e-06,-3.879154775177085e-12,0.20062594895588026,0.01957412955077571,10.67444826661277
380,0.027398712459630686,-0.44952124045423286,0.4503554541292442,0.3299999990267717,0.32999644648711884,60.0000000222451,9.732283312580137e-10,3.55351288117145e-06,-2.2245104775405256e-08,4.866141656290068e-10,1.776756440585725e-06,-3.882503207819355e-12,0.19955874022120426,0.028464489165435553,10.674449179669455
381,0.04733463446805769,-0.44786099120620043,0.4503554541297629,0.32999999898258753,0.3299962851591561,60.000000022264295,1.0174124875916846e-09,3.7148408439380276e-06,-2.2264302603462572e-08,5.087062437958423e-10,1.8574204219690138e-06,-3.8858538609076735e-12,0.19809776914588814,0.03729868364378233,10.674450132391872
382,0.06717715742797169,-0.44531703828272723,0.450355454130404,0.3299999989363974,0.32999611650697247,60.00000002228351,1.0636025948862482e-09,3.883493027545537e-06,-2.228351315373861e-08,5.318012974431241e-10,1.9417465137727685e-06,-3.889206734442041e-12,0.19624591846703873,0.046059281661635476,10.674451130174957
383,0.0868871287656679,-0.4418944013229111,0.4503554541311516,0.3299999988881103,0.3299959401980515,60.00000002230276,1.1118896914297238e-09,4.0598019485083015e-06,-2.230276187067083e-08,5.559448457148619e-10,2.0299009742541507e-06,-3.892566269314557e-12,0.19400684219175132,0.05472899711277869,10.674452172603376
384,0.1064256574536736,-0.43759983375451883,0.450355454131988,0.329999998837631,0.32999575588478036,60.000000022322055,1.1623690343576243e-09,4.244115219653732e-06,-2.232206147647795e-08,5.811845171788121e-10,2.122057609826866e-06,-3.8959346859712695e-12,0.1913849583871511,0.06329072321730121,10.674453261603675
385,0.12575419074916594,-0.43244180946835914,0.4503554541328952,0.32999999878485997,0.3299955632037653,60.000000022341396,1.2151400441418048e-09,4.436796234741358e-06,-2.2341399248941246e-08,6.075700220709024e-10,2.218398117370679e-06,-3.89930976396613e-12,0.18838544046281774,0.07172756627609717,10.674454401599458
