Time(s),Radius(m),X_center(m),Y_center(m)
506.000000,0.529681,0.323441,0.419461
507.000000,0.530055,0.334218,0.411408
508.000000,0.530220,0.344781,0.402815
509.000000,0.530646,0.355172,0.394256
510.000000,0.530922,0.365763,0.384833
511.000000,0.530958,0.375928,0.374959
512.000000,0.531135,0.385448,0.365423
513.000000,0.531759,0.395310,0.355665
514.000000,0.532140,0.404557,0.345696
515.000000,0.532331,0.413407,0.335366
516.000000,0.532932,0.422101,0.325341
517.000000,0.533344,0.430566,0.314752
518.000000,0.533171,0.438528,0.303257
519.000000,0.533339,0.446298,0.292007
520.000000,0.533882,0.454166,0.280647
521.000000,0.533272,0.460909,0.268219
522.000000,0.533753,0.468000,0.256648
523.000000,0.533458,0.474786,0.243219
524.000000,0.533406,0.480344,0.231932
525.000000,0.533002,0.485720,0.219469
526.000000,0.532626,0.490709,0.207111
527.000000,0.532096,0.495355,0.194293
528.000000,0.531530,0.499735,0.181076
529.000000,0.531359,0.504206,0.167684
530.000000,0.530652,0.507775,0.154131
531.000000,0.530235,0.511100,0.141161
532.000000,0.530519,0.514857,0.127958
533.000000,0.530342,0.517669,0.115243
534.000000,0.530579,0.520803,0.101383
535.000000,0.530719,0.523371,0.088008
536.000000,0.531311,0.526076,0.074395
537.000000,0.532029,0.528489,0.061271
538.000000,0.532039,0.529871,0.047980
539.000000,0.531730,0.530674,0.033492
540.000000,0.531566,0.531202,0.019673
541.000000,0.531666,0.531633,0.005916
542.000000,0.530752,0.530694,-0.007846
543.000000,0.530389,0.529949,-0.021605
544.000000,0.529714,0.528538,-0.035285
545.000000,0.529094,0.526833,-0.048860
546.000000,0.529136,0.525449,-0.062352
547.000000,0.528976,0.523503,-0.075902
548.000000,0.528556,0.520979,-0.089176
549.000000,0.528494,0.518386,-0.102868
550.000000,0.528158,0.515218,-0.116195
551.000000,0.528483,0.512450,-0.129190
552.000000,0.528452,0.508847,-0.142604
553.000000,0.527748,0.504216,-0.155833
554.000000,0.527165,0.499567,-0.168332
555.000000,0.526321,0.494153,-0.181181
556.000000,0.526302,0.489127,-0.194292
557.000000,0.525999,0.483632,-0.206823
558.000000,0.525864,0.478105,-0.218971
559.000000,0.525236,0.471559,-0.231312
560.000000,0.524815,0.464963,-0.243395
561.000000,0.524583,0.458138,-0.255533
562.000000,0.524173,0.451041,-0.267058
563.000000,0.523917,0.443766,-0.278498
564.000000,0.523442,0.435598,-0.290251
565.000000,0.523613,0.428196,-0.301361
566.000000,0.523051,0.419349,-0.312616
567.000000,0.523303,0.411412,-0.323397
568.000000,0.523156,0.402234,-0.334514
569.000000,0.523171,0.393265,-0.345036
570.000000,0.523673,0.384184,-0.355859
571.000000,0.523698,0.374287,-0.366291
572.000000,0.524300,0.365108,-0.376281
573.000000,0.524574,0.355049,-0.386158
574.000000,0.525744,0.345533,-0.396249
575.000000,0.526495,0.335406,-0.405832
576.000000,0.527513,0.325053,-0.415463
577.000000,0.528374,0.314572,-0.424527
578.000000,0.529361,0.304018,-0.433355
579.000000,0.529841,0.292556,-0.441749
580.000000,0.530840,0.281173,-0.450258
581.000000,0.531413,0.270187,-0.457602
582.000000,0.532541,0.259090,-0.465265
583.000000,0.532990,0.246848,-0.472381
584.000000,0.533792,0.234681,-0.479436
585.000000,0.534370,0.222809,-0.485702
586.000000,0.534986,0.210307,-0.491916
587.000000,0.535306,0.197789,-0.497426
588.000000,0.535412,0.185130,-0.502388
589.000000,0.535800,0.172242,-0.507360
590.000000,0.536144,0.158840,-0.512075
591.000000,0.536511,0.145893,-0.516294
592.000000,0.536575,0.132346,-0.519997
593.000000,0.536593,0.118973,-0.523237
594.000000,0.536440,0.105305,-0.526003
595.000000,0.536872,0.091639,-0.528994
596.000000,0.536673,0.077754,-0.531010
597.000000,0.537168,0.064023,-0.533339
598.000000,0.537285,0.050441,-0.534912
599.000000,0.537965,0.035568,-0.536788
600.000000,0.538824,0.023935,-0.538292
