Time(s),radii001_radius,radii001_x,radii001_y,radii01_radius,radii01_x,radii01_y,radii02_radius,radii02_x,radii02_y,radii03_radius,radii03_x,radii03_y,radii04_radius,radii04_x,radii04_y,radii05_radius,radii05_x,radii05_y
67.000000,0.164273,0.077054,-0.145081,0.254228,0.238847,0.087087,0.321086,0.200021,-0.251173,0.412113,0.411836,-0.015094,0.504936,0.489902,-0.122299,0.600203,-0.597639,-0.055420
68.000000,0.165017,0.064695,-0.151806,0.253826,0.242951,0.073501,0.321553,0.188965,-0.260170,0.412358,0.411302,-0.029492,0.505490,0.486926,-0.135731,0.600080,-0.598623,-0.041801
69.000000,0.166005,0.052044,-0.157636,0.253957,0.246899,0.059454,0.322083,0.177411,-0.268818,0.412660,0.410354,-0.043565,0.505880,0.483314,-0.149404,0.600962,-0.600300,-0.028191
70.000000,0.166982,0.038767,-0.162419,0.253805,0.249731,0.045295,0.321962,0.165144,-0.276382,0.413043,0.408996,-0.057679,0.506840,0.479901,-0.163040,0.601739,-0.601554,-0.014909
71.000000,0.167949,0.025232,-0.166043,0.253599,0.251837,0.029841,0.323040,0.153457,-0.284264,0.413661,0.407373,-0.071852,0.507408,0.475719,-0.176506,0.602487,-0.602486,-0.000787
72.000000,0.168224,0.011430,-0.167835,0.253515,0.252944,0.017012,0.323391,0.140755,-0.291153,0.414826,0.405964,-0.085285,0.508289,0.471604,-0.189598,0.602191,-0.602067,0.012225
73.000000,0.168835,-0.002395,-0.168818,0.253275,0.253261,0.002686,0.324639,0.128591,-0.298085,0.415608,0.403517,-0.099519,0.508879,0.466638,-0.202995,0.602386,-0.601819,0.026125
74.000000,0.169274,-0.016166,-0.168500,0.253435,0.253194,-0.011066,0.325393,0.116202,-0.303937,0.416125,0.400655,-0.112408,0.509392,0.461346,-0.215962,0.602811,-0.601503,0.039689
75.000000,0.169397,-0.030204,-0.166683,0.253012,0.251736,-0.025378,0.326069,0.102921,-0.309400,0.417460,0.397984,-0.126023,0.510148,0.456017,-0.228692,0.603066,-0.600699,0.053379
76.000000,0.169442,-0.043764,-0.163693,0.252354,0.249237,-0.039537,0.326479,0.089543,-0.313959,0.418131,0.394222,-0.139364,0.510679,0.450199,-0.241069,0.603207,-0.599477,0.066971
