# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:41:52.855301+00:00
# trials_per_cell: 4
# steps: 500
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S6: (-0.2, -0.3)  seed_offset: 29
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y,min_gradD_path
0.001,0.01,1033786,-0.2,-0.3,2.290975402783248,-1,25,0,0,0,-1,0,0.24560438334890933,0.29748380118577467,5.404987966279942e-11,0.3931331358617405,-0.30477254036261,-0.5223838885752053,2.93673680244438
0.005,0.0,5000029,-0.2,-0.3,2.842238582255946,-1,104,0,0,0,-1,0,0.7725386667708591,0.9826085312222852,4.1361164598655714e-10,1.5287861525380595,-1.0026871342629082,-0.4456349031091688,0.049375829444851096
0.005,0.0,5007948,-0.2,-0.3,3.616129088104344,-1,61,0,0,0,-1,0,0.4744865179744436,0.7332056830651539,2.0806795618634905e-10,0.8904024611004346,-0.7678259334911955,-0.5228338998101649,0.22174094487377505
0.005,0.0,5015867,-0.2,-0.3,0.8739496034792034,-1,63,0,0,0,-1,0,0.5114756940862987,0.7686100864558233,2.0806963011375744e-10,0.9263638364544858,-0.797787902704029,-0.5212724120661929,0.12956645044094658
0.005,0.0,5023786,-0.2,-0.3,6.2059982801665035,-1,85,0,0,0,-1,0,0.6211041390577343,0.8454539918377945,3.107003205547286e-10,1.284937187202483,-0.8669174853110951,-0.5209317942718802,0.07265958563035754
0.005,0.01,5010029,-0.2,-0.3,6.073529108147142,-1,59,0,0,0,-1,0,0.47022906968710937,0.6999583990164162,1.637738475306863e-10,0.8141892430939677,-0.7230906090557717,-0.5253020548884614,0.09907460434108689
0.005,0.01,5017948,-0.2,-0.3,4.645121109375926,-1,65,0,0,0,-1,0,0.5267988027605148,0.7664024371317943,2.0806611620017499e-10,0.9135952513729576,-0.7747239559677562,-0.5240380050342704,0.058938729572978334
0.005,0.01,5025867,-0.2,-0.3,1.5810090627771733,-1,52,0,0,0,-1,0,0.3564890357280565,0.579838530984995,1.53360142036492e-10,0.7366605791670082,-0.6091984401294734,-0.5209572278784238,0.20196063688874838
0.005,0.01,5033786,-0.2,-0.3,2.5366499971332996,-1,66,0,0,0,-1,0,0.47771915746432714,0.7177791939554456,1.8119790234680296e-10,0.962727857137757,-0.7468332065562023,-0.5222104401807065,0.12360452054733319
0.01,0.0,10000029,-0.2,-0.3,1.3235064582584897,-1,91,0,0,0,-1,0,0.6804420604413187,0.9132634440077301,3.700065010503172e-10,1.3317620567271724,-0.9323684309334174,-0.5205388815947242,0.04468630624884155
