environment,primitive,field_mode,radius,avg_dist_origin,std_dist_origin,avg_dist_to_est_center,std_dist_to_est_center,est_center_x_mean,est_center_x_std,est_center_y_mean,est_center_y_std
saddle1,4R_orbiter_planar,rbf,0.5,0.4957973310421472,0.0359057154585779,0.9234041071416716,3.4909503641155566,-0.07151114795404692,1.2917594633268052,0.3004467478579166,3.2939526197138513
saddle1,4R_orbiter_planar,rbf,0.6,0.6980669549500472,0.054862461533089664,8.197449700692358,61.20722419079064,-0.33684782250567546,8.176630652568276,2.1927386334457295,61.185570580377366
saddle1,4R_orbiter_advanced,analytical,0.1,0.19553953853381148,0.02666976564488096,0.19553953853381148,0.02666976564488096,2.4132241172447874e-20,9.352921929420192e-18,4.80585320817694e-19,1.0938759853775892e-17
saddle1,4R_orbiter_advanced,analytical,0.2,0.2731927799308332,0.019074404164231933,0.2731927799308332,0.019074404164231933,-2.012298363888205e-18,1.9812650360517392e-17,2.1350144330542515e-18,2.460930614704061e-17
saddle1,4R_orbiter_advanced,analytical,0.3,0.3571373475296771,0.014411614128156256,0.3571373475296771,0.01441161412815625,1.4269568830772584e-18,4.2056385237302947e-17,-6.471956685014527e-19,4.8506855063113005e-17
saddle1,4R_orbiter_advanced,analytical,0.4,0.4460209711112259,0.011452841005992141,0.44602097111122596,0.011452841005992144,7.052202072668191e-18,8.064716569549182e-17,1.053933138079908e-18,8.154108324574002e-17
saddle1,4R_orbiter_advanced,analytical,0.5,0.5382270243696339,0.009493041781759444,0.5382270243696339,0.00949304178175944,-2.150462271742853e-19,1.3010250784520255e-16,-2.7158295036535242e-18,1.3625636597614847e-16
saddle1,4R_orbiter_advanced,analytical,0.6,0.6325900534968842,0.008050929589646792,0.6325900534968842,0.00805092958964679,2.0971590199640436e-17,1.7140790205713378e-16,-5.836302161919842e-20,1.7050817093185902e-16
saddle1,4R_orbiter_advanced,nn,0.1,0.18281222631219332,0.02088619463226188,0.18135322297142295,0.024212596357255412,-0.008902253153226474,0.010852110144613639,-0.007075905145758074,0.01250107290179043
saddle1,4R_orbiter_advanced,nn,0.2,0.28913058632647903,0.03402088091886248,0.26424308968826854,0.024032430413388792,-0.008423662843029736,0.021290377911103265,-0.01994904630967757,0.025919749560165278
saddle1,4R_orbiter_advanced,nn,0.3,0.3836884514009874,0.042117785210706686,0.3363343403997879,0.03279616842285148,-0.022364988686977085,0.03777093759930392,-0.021136475034761217,0.04668069731388907
saddle1,4R_orbiter_advanced,nn,0.4,0.45173749039451605,0.04447207424157867,0.42053527112470096,0.0445892690410871,-0.016733106873980545,0.048409940006633956,-0.017975147762329325,0.05020569460028738
saddle1,4R_orbiter_advanced,nn,0.5,0.5104117213818814,0.04582326239869144,0.5145693925089337,0.05627184934913177,-0.016379833592290793,0.06691071083262834,-0.019528580088927855,0.05892538164037369
saddle1,4R_orbiter_advanced,nn,0.6,0.5626922041861613,0.041681537041703964,0.6188979241450112,0.07299586269954243,-0.005513716891409657,0.10194163366288363,-0.013144662348925706,0.07902514438517644
saddle1,4R_orbiter_advanced,rbf,0.1,0.2095232905638206,0.044587484874887895,0.2787993782638861,0.49437884742804106,-0.004526783802198249,0.3573720605401797,0.008771262309070486,0.36578840224409875
saddle1,4R_orbiter_advanced,rbf,0.2,0.30935064701631165,0.03158405880118292,0.49832206899637677,2.3506257973610585,-0.11891205656757622,2.121899867879889,0.084557986026112,1.1146893408679135
saddle1,4R_orbiter_advanced,rbf,0.3,0.3723518155766121,0.04202979668325234,0.4798180377021303,0.6980073091421328,-0.024484376437967973,0.6139716635839582,0.0012048874256140162,0.4687895316622033
saddle1,4R_orbiter_advanced,rbf,0.4,0.5053629293503653,0.1056161266031991,1.0169515415380133,3.461465052025997,-0.06296269795356867,1.5063051834660948,-0.13211505065812634,3.233527726434766
saddle1,4R_orbiter_advanced,rbf,0.5,0.5780588383009908,0.123339118854108,1.7991477004585652,7.430567687885713,0.25667550917458465,3.6601622999789236,0.24015590884774943,6.710683708021323
saddle1,4R_orbiter_advanced,rbf,0.6,0.585406016261429,0.09414062232884707,1.8128400810337355,7.389326003022784,-0.0436274277058979,3.8101476799167884,-0.17850886765513294,6.621475679532297
