Time(s),Radius(m)
583.000000,0.274481
584.000000,0.279009
585.000000,0.286309
586.000000,0.292333
587.000000,0.298708
588.000000,0.305375
589.000000,0.312239
590.000000,0.321577
591.000000,0.331476
592.000000,0.341583
593.000000,0.352827
594.000000,0.363442
595.000000,0.373772
596.000000,0.384926
597.000000,0.394790
598.000000,0.403252
599.000000,0.412310
600.000000,0.419944
